,LABEL,Headline
0,bitcoin,rose friday adding previous close
1,bitcoin,investors dipping toes crypto waters bumper month
2,bitcoin,surges rally intact analyst says could awaken dormant long term bulls benzinga
5,bitcoin,looking steady week
6,bitcoin,salvador became first country world recognize legal tender years approved wednesday would regulate issuance digital assets state private entities
7,bitcoin,charge dragging crypto market floor electrifying bonk meme coin
8,bitcoin,skybridge capital betting sustained turnaround cryptocurrency markets firm founder anthony scaramucci said admitting view overly bullish
9,bitcoin,silvergate stock surged monday weekend
10,bitcoin,period highly negative sentiment seen suspiciously solid floors finance professor john griffin told fortune
11,bitcoin,bond issuance originally planned early salvador seeks raise billion called volcano bonds
12,bitcoin,invest bull case million base case
13,bitcoin,investors piling back crypto markets jumping year date
14,bitcoin,crypto asset manager grayscale investments gearing prolonged legal fight securities exchange commission create spot exchange traded fund company chief executive officer said
15,bitcoin,bloodbath crypto tesla billion backfire elon musk carmaker dumped least position
16,bitcoin,crypto giant binance processed almost million bitzlato digital currency exchange whose founder arrested authorities last week allegedly running money laundering engine blockchain data seen reuters show
17,bitcoin,surge continues crypto first time since collapse early november coindesk reports largest cryptocurrency market capitalization started week near mark hovering
18,bitcoin,exchanging ether example taxable event eyes even receive dollars
19,bitcoin,investors made large shift away short bets last week token price climbed january
20,bitcoin,character simpsons episode says behold wonders china mines forced labor camps children make smartphones
21,bitcoin,interview insider invesco brian levitt breaks money dollar looks weaken could climb
22,bitcoin,taleb said stock market expensive relative current interest rates championed warren buffett investing style trashed
23,bitcoin,jpmorgan survey institutional traders found plan trading digital assets year
24,bitcoin,york times covered research authored john griffin finance professor university texas hong kong based bitfinex largest least regulated exchanges industry
26,bitcoin,despite volatile nature crypto millionaires still want ahead curve
27,bitcoin,investors losing faith fashionable technobabble turning gold rock ages nobel prize winner paul krugman suggested
28,bitcoin,crypto accepted candy gifts capitol says senator cruz another getting resolution passed
29,bitcoin,bridgewater associates founder also told cnbc sees china yuan digital renminbi making gains
30,bitcoin,hacker groups associated north korea lazarus group responsible theft last june million crypto firm harmony horizon bridge federal bureau investigation said monday
31,bitcoin,move higher comes crypto prices enjoy sustained rally industry market reclaiming trillion weekend
32,bitcoin,crypto company digital currency group center industry latest meltdown companies genesis froze customer withdrawals november
33,bitcoin,eyes meeting next week central bank expected announce smaller increase benchmark rate
34,bitcoin,mentioned lastpass story closing couple weeks details still scarce hope lastpass would release transparent information happened
35,bitcoin,reporting crypto transactions taxes important ever experts right
36,bitcoin,bucked wider downward trend meme token surged tuesday amid reports elon musk plan twitter payments
37,bitcoin,faltering digital asset firm filed chapter month enduring double whammy exposure tothree arrows capital
38,bitcoin,threats impending cryptocurrency regulation dominated headlines recent months lost crypto investors protections stand federal crypto showdown
39,bitcoin,jamie dimon previously compared crypto tokens rocks called industry complete sideshow collapse
40,bitcoin,news days revelation luke dashjr core developer wallet compromised lost small fortune something shock guessing
41,bitcoin,cambiado puristas contentos centro debate gira alrededor ordinales nuevo protocolo creado casey rodarmor permite inscribir artefactos digitales cadena bloques
42,bitcoin,prosecutors confirmed lazarus group behind june hack crypto firm harmony billion converted
43,bitcoin,bankman fried hedge fund alameda research hand relied heavily token created
44,bitcoin,heatbit space heater allegedly uses energy produced calculation intensive mining heat home also costs though company insists cover electricity bills payments
45,bitcoin,hablar criptomonedas hablar promesas promesas siempre cumplen lleg hundirse niveles perdiendo mitad valor arrastrando consigo enorme crisis dentro territorio cripto pero todo baja puede
46,bitcoin,jersey faces years behind bars hired hitman paid kill year prosecutors said
47,bitcoin,early count chickens price action since yesterday encouraging crypto executive told insider
48,bitcoin,crypto needs adult supervision needs goldman sachs morgan stanley blackrock come saylor said
49,bitcoin,elon musk billion tesla turned deal sunk funds january trading simultaneously announced tesla would begin accepting announc
50,bitcoin,ransomware cyber gangs made million sounds money compare record estimated profits million told hackers managed extort less victims past year year
51,bitcoin,unprecedented layoffs tens thousands highly qualified computer nerds apparently place always turn really desperate dark recent report security firm kaspersky shows
52,bitcoin,former employee network technology provider ubiquiti pleaded guilty multiple felony charges posing anonymous hacker attempt extort almost million worth cryptocurrency employed company report nickolas
53,bitcoin,look five trends expect blockchain crypto
54,bitcoin,launches deserve every second crypto wolf streets trader scott melker said
55,bitcoin,german online bank said tuesday would expand list countries customers trade include germany switzerland
